context_id	word	gold_sense_id	predict_sense_id	positions	context	context_wo	contextmorph	wordpos	feature_cos	feature_prob
27	дар	2.3	6	71-77	Потому-то он и оказался не сломленным до конца своих дней, что обладал даром хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов	Потому-то он и оказался не сломленным до конца своих дней, что обладал  хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов	потому_ADV то_PART он_PRON и_SCONJ оказываться_VERB не_PART сламывать_VERB до_ADP конец_NOUN свой_DET день_NOUN что_PRON обладать_VERB хороший_ADJ крестьянин_NOUN и_SCONJ большой_ADJ художник_NOUN извлекать_VERB удовольствие_NOUN из_ADP самый_DET работа_NOUN а_PART не_PART ждать_VERB она_PRON часто_ADV обманчивый_ADJ плод_NOUN	дар_NOUN	[0.5709562, 0.37302402, 0.39520025, 0.298249, 0.3159639, 0.46946964, 0.46328393, 0.36445996, 0.34513503]	[0.5583972789890893, 0.5433175089868715, 0.5456135263321886, 0.5359637868591755, 0.5372024819671098, 0.5549450734828847, 0.5562617885398218, 0.5436001425129692, 0.5411580963169661]
28	дар	2.3	6	82-86	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный дар. Он называл его про себя «внутривидением»	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный   Он называл его про себя «внутривидением»	так_ADV начинать_VERB с_NOUN это_PRON день_NOUN открываться_VERB у_ADP павел_NOUN алексеевич_NOUN этот_DET странный_ADJ но_SCONJ полезный_ADJ он_PRON называть_VERB он_PRON про_ADP себя_PRON внутривидение_NOUN	дар_NOUN	[0.2936177, 0.2665182, 0.30204195, 0.2415633, 0.17767033, 0.3643142, 0.3278722, 0.2593286, 0.17205375]	[0.5479669534814479, 0.5493230728862147, 0.555523801340465, 0.5464021233361932, 0.5333754848307065, 0.5678559683713341, 0.5634291596107395, 0.5494416085394381, 0.5327501365755998]
29	дар	2.3	5	55-61	Считалось, что Андрей Иванович обладает необыкновенным даром «выведывать мысли»	Считалось, что Андрей Иванович обладает необыкновенным  «выведывать мысли»	считаться_VERB что_PRON андрей_NOUN иванович_NOUN обладать_VERB необыкновенный_ADJ выведывать_VERB мысль_NOUN	дар_NOUN	[0.50000745, 0.43550086, 0.38005432, 0.30314064, 0.27055737, 0.5071361, 0.4079638, 0.3544168, 0.52717084]	[0.5569470069936333, 0.5562047492716503, 0.5488148799963363, 0.5406749452000433, 0.535471010859354, 0.5659585748080195, 0.5551652870273801, 0.5471812245645298, 0.5696901895736255]
30	дар	2.3	5	8-12	Ученому дар рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант	Ученому  рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант	ученый_NOUN рассказчик_NOUN казаться_VERB бы_PART без_ADP нужда_NOUN а_PART у_ADP он_PRON он_PRON какой_DET то_PART образ_NOUN входить_VERB в_NOUN он_PRON научный_ADJ талант_NOUN	дар_NOUN	[0.51236916, 0.4332014, 0.4664341, 0.33687028, 0.3469842, 0.56680745, 0.4494803, 0.4078638, 0.39288723]	[0.5643524377141481, 0.5616751705275018, 0.5659716530690048, 0.5498512009130486, 0.550142532858108, 0.5811479916896596, 0.5669765887001943, 0.5598400847414191, 0.5574666373289102]
31	дар	2.3	7	15-20,37-43	Когда выносили дары и их подводили к дарам, тотчас «беснование» прекращалось и больные […] успокаивались	Когда выносили  и их подводили к   тотчас «беснование» прекращалось и больные […] успокаивались	когда_ADV выносить_VERB и_SCONJ они_PRON подводить_VERB к_NOUN тотчас_ADV беснование_NOUN прекращаться_VERB и_SCONJ больной_NOUN успокаиваться_VERB	дар_NOUN	[0.12852679, 0.36037928, 0.2832861, 0.20863679, 0.17249468, 0.33824396, 0.1997991, 0.31155685, 0.38276616]	[0.5210491422489946, 0.566514465770939, 0.5521017836570762, 0.5401065390455912, 0.5324059934871944, 0.5630538341938724, 0.5387838273416764, 0.5593131881164697, 0.5724498127628358]
32	дар	2.3	7	104-111	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными дарами	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными	в_NOUN конец_NOUN быть_VERB приписка_NOUN что_PRON священник_NOUN приезжать_VERB исповедовать_VERB больной_ADJ глухой_ADJ исповедь_NOUN и_SCONJ приобщать_VERB запасный_ADJ	дар_NOUN	[0.3139647, 0.57550097, 0.5356641, 0.37793636, 0.42743015, 0.48930573, 0.28529578, 0.5356087, 0.42735204]	[0.5359721253358048, 0.5742841949624727, 0.5688134166497345, 0.5508175235658844, 0.5560830382339372, 0.5638762160934593, 0.5387874262886021, 0.5712660648423071, 0.5568089116953655]
33	дар	2.3	7	55-62,128-133	Он предупредил меня, что мы заедем в костел за святыми дарами для причащения умирающего и что с человеком, который везет святые дары, нельзя разговаривать	Он предупредил меня, что мы заедем в костел за святыми  для причащения умирающего и что с человеком, который везет святые   нельзя разговаривать	он_PRON предупреждать_VERB я_PRON что_PRON мы_PRON заезжать_VERB в_NOUN костел_NOUN за_ADP святой_ADJ для_ADP причащение_NOUN умирающий_NOUN и_SCONJ что_PRON с_NOUN человек_NOUN который_DET везти_VERB святой_NOUN нельзя_ADV разговаривать_VERB	дар_NOUN	[0.42080912, 0.64796495, 0.61959225, 0.4774659, 0.4708958, 0.55041677, 0.44881335, 0.64239776, 0.428276]	[0.5458977549955086, 0.5796179490411932, 0.5757511771140806, 0.5610883844126657, 0.5588570828602135, 0.5684212951449851, 0.5580055554380379, 0.5812886369461081, 0.5542767082723998]
34	дар	2.3	7	46-52	Как я могу служить обедню? У меня ведь нет ни даров, ни епитрахили	Как я могу служить обедню? У меня ведь нет ни   ни епитрахили	как_ADV я_PRON мочь_VERB служить_VERB обедня_NOUN у_NOUN я_PRON ведь_PART нет_PART ни_PART ни_PART епитрахиль_NOUN	дар_NOUN	[0.20002377, 0.45736265, 0.40757295, 0.30047026, 0.28290388, 0.32044968, 0.26899204, 0.47703758, 0.19568253]	[0.5278193423210904, 0.571649909570285, 0.5635728493264371, 0.5490206421838966, 0.5450954340097158, 0.5508477979225914, 0.5443347605619765, 0.5769080937096852, 0.531648911779993]
35	дар	2.3	7	55-62	Поднимешь глаза – на амвоне стоит священник со святыми Дарами, и чудится, скорбный свет идет от чаши	Поднимешь глаза – на амвоне стоит священник со святыми   и чудится, скорбный свет идет от чаши	подымать_VERB глаз_NOUN на_ADP амвон_NOUN стоять_VERB священник_NOUN со_ADP святой_ADJ и_SCONJ чудиться_VERB скорбный_ADJ свет_NOUN идти_VERB от_ADP чаша_NOUN	дар_NOUN	[0.33383995, 0.69491917, 0.61672014, 0.39392814, 0.39673388, 0.5730034, 0.4030047, 0.6742864, 0.47503248]	[0.5362414417661342, 0.58479836619681, 0.5749789136558116, 0.5501928683696661, 0.5493710818479351, 0.570788323135178, 0.551833366033296, 0.5847669151594889, 0.5598056758232661]
36	дар	2.3	7	127-134	Джованни хотелось, чтобы с ним повторилось чудо, о котором говорил Савонарола, – чтобы огненные лучи, выйдя из чаши со Святыми Дарами, выжгли в теле его, как раскаленное железо, крестные раны	Джованни хотелось, чтобы с ним повторилось чудо, о котором говорил Савонарола, – чтобы огненные лучи, выйдя из чаши со Святыми   выжгли в теле его, как раскаленное железо, крестные раны	джованни_NOUN хотеться_VERB чтобы_SCONJ с_NOUN он_PRON повторяться_VERB чудо_NOUN о_INTJ который_DET говорить_VERB савонарола_NOUN чтобы_SCONJ огненный_ADJ луч_NOUN выходить_VERB из_ADP чаша_NOUN со_ADP святой_ADJ выжигать_VERB в_NOUN тело_NOUN он_PRON как_ADV раскалять_VERB железо_NOUN крестный_NOUN рана_NOUN	дар_NOUN	[0.37733698, 0.70189464, 0.5902713, 0.4281574, 0.35866243, 0.6118374, 0.46105966, 0.6384861, 0.5404136]	[0.5429166581720736, 0.589692116279588, 0.5752344872378756, 0.5571385794719874, 0.5468101532965152, 0.5791116892450123, 0.5620740799208329, 0.5841648618269595, 0.5711878409268641]
37	двигатель	1	3	0-10	Двигатель взревел, и машина резко рванулась с места	взревел, и машина резко рванулась с места	взреветь_VERB и_SCONJ машина_NOUN резко_ADV рвануться_VERB с_NOUN место_NOUN	двигатель_NOUN	[0.26685795, 0.2640558, 0.27079523, 0.3143793, 0.28606915, 0.29692817, 0.26654685, 0.29301658, 0.2863428]	[0.5384564206226058, 0.5381289628043391, 0.5389420706891952, 0.5461705091970941, 0.5414273567261019, 0.5434016961675111, 0.5398022541609959, 0.5432158117444227, 0.5431205875662305]
38	двигатель	1	3	10-20	Если один двигатель откажет, остальные дотянут самолет до места посадки	Если один  откажет, остальные дотянут самолет до места посадки	если_SCONJ один_DET отказывать_VERB остальной_DET дотягивать_VERB самолет_NOUN до_ADP место_NOUN посадка_NOUN	двигатель_NOUN	[0.5476196, 0.5106687, 0.52574325, 0.49202693, 0.4629558, 0.46214432, 0.48667634, 0.44837034, 0.42610258]	[0.6019172055730135, 0.5953970512947634, 0.5977578366212085, 0.5936122455283372, 0.5869488014899079, 0.5876131811529237, 0.594066977188398, 0.5858027024301647, 0.5833052178530194]
39	двигатель	1	3	56-66	Страховать придется все транспортные средства с объемом двигателя более 50 куб. см	Страховать придется все транспортные средства с объемом  более 50 куб. см	страховать_VERB приходиться_VERB все_PRON транспортный_ADJ средство_NOUN с_NOUN объем_NOUN более_ADV 50_NUM куб_NOUN см_NOUN	двигатель_NOUN	[0.49492145, 0.50991726, 0.49608254, 0.48710638, 0.48676914, 0.5088143, 0.51968956, 0.51098317, 0.43206322]	[0.5712464776793684, 0.5735172316002456, 0.5712673292038403, 0.5715204892754677, 0.5704502418712567, 0.5742895419205601, 0.577434533079789, 0.575261824423656, 0.5651026634865217]
